idx,gnn_in_dim,gnn_hidden_dim,gnn_out_dim,gnn_num_layers,mlp_in_dim,mlp_hidden_dim,mlp_out_dim,mlp_num_layers,gnn_p_in,gnn_p_hidden,gnn_p_out,mlp_p_in,mlp_p_hidden,mlp_p_out,conv,gnn_skip_connections,median_nodes,median_edges,median_degree,runtime_synth,bram,dsp,build_idx,vitis_tool_runtime,latency_pred,bram_pred,sklearn_latency_infrence_time,sklearn_bram_infrence_time
207983,11,256,256,3,768,256,19,4,1,8,2,2,8,1,pna,False,12,24,1,0.00318404277,1799,622,207983,1067.21,3184.04277,1778.9833333333336,0.0017268073333333333,0.0017192662222222223
208642,11,256,256,4,768,128,19,4,1,8,4,4,4,1,pna,True,12,24,1,0.00264069999,2607,710,208642,1265.96,2640.6999900000005,2607.0,0.0017347423333333332,0.001719063888888889
209098,11,256,256,4,768,64,19,2,1,4,4,2,4,1,pna,False,12,24,1,0.00716437845,1501,269,209098,957.01,7164.378450000002,1487.3333333333335,0.001716070111111111,0.0017278782222222221
210667,11,64,64,1,192,256,19,1,1,8,4,4,4,1,sage,True,12,24,1,7.2261e-05,168,38,210667,231.97,78.15989423896106,170.945,0.001727470111111111,0.0017320875555555555
210903,11,64,64,1,192,256,19,4,1,8,2,8,2,1,sage,True,12,24,1,0.00028092879,284,44,210903,269.0,282.8257466999927,307.15,0.001712823111111111,0.0017167737777777777
211376,11,64,64,1,192,128,19,2,1,4,8,2,8,1,sage,False,12,24,1,5.831496e-05,228,114,211376,319.16,75.16669901623266,231.8857142857143,0.0017152226666666667,0.001720700111111111
21225,11,64,256,3,768,256,19,3,1,2,2,4,2,1,gcn,False,12,24,1,0.00059341599,333,184,21225,594.47,555.2464754999999,351.21280830280836,0.0017330786666666668,0.001715527
212302,11,64,64,2,192,128,19,2,1,2,2,2,4,1,sage,True,12,24,1,0.00014419233,185,50,212302,375.24,144.799033799998,203.9572222222222,0.001733054888888889,0.001719567111111111
212812,11,64,64,2,192,256,19,4,1,2,8,8,4,1,sage,True,12,24,1,0.00015750567,437,130,212812,580.29,171.620618699988,376.33833333333337,0.0017173082222222222,0.0017253557777777778
21302,11,64,256,3,768,256,19,3,1,8,8,8,8,1,gcn,False,12,24,1,0.00016432884,729,492,21302,681.37,172.84159145454544,712.1,0.0017216152222222223,0.0017339664444444446
21319,11,64,256,3,768,256,19,4,1,2,4,8,4,1,gcn,False,12,24,1,0.00035318979,657,254,21319,686.43,356.0764671,543.7320634920636,0.0017223731111111111,0.0017160861111111111
214908,11,64,64,3,192,64,19,2,1,2,4,8,2,1,sage,False,12,24,1,0.00016565085,190,60,214908,550.51,185.8592047499825,233.025873015873,0.0017153517777777777,0.001725215888888889
21602,11,64,256,4,768,64,19,3,1,8,2,2,8,1,gcn,True,12,24,1,0.00025777863,574,527,21602,932.57,228.1556947090909,602.7421428571428,0.0017317725555555555,0.0017141556666666667
217268,11,64,64,4,192,128,19,3,1,2,8,8,8,1,sage,False,12,24,1,0.0002091906,449,262,217268,868.83,207.00059774998917,477.6484848484849,0.0017290077777777778,0.0017137527777777778
217274,11,64,64,4,192,128,19,3,1,4,2,4,8,1,sage,False,12,24,1,0.00014759892,453,266,217274,916.32,156.89902724999584,475.3359848484849,0.0017167053333333332,0.0017308747777777778
217433,11,64,64,4,192,256,19,1,1,4,2,2,8,1,sage,False,12,24,1,0.0001515483,339,122,217433,786.77,146.23568142856664,362.7029761904762,0.0017143384444444445,0.0017307147777777777
217651,11,64,64,4,192,256,19,4,1,2,2,4,4,1,sage,False,12,24,1,0.00031682619,477,106,217651,879.01,319.969932,460.3198717948718,0.0017161904444444444,0.001727193
218882,11,64,128,1,384,64,19,3,1,2,8,2,8,1,sage,False,12,24,1,7.333658999999999e-05,300,178,218882,342.07,93.19027226428472,304.53333333333336,0.0017221572222222222,0.001713768111111111
219271,11,64,128,1,384,128,19,4,1,2,2,4,4,1,sage,False,12,24,1,0.0001358440199999,232,82,219271,275.23,145.77799935712017,219.2414285714286,0.0017276134444444446,0.001722335111111111
219898,11,64,128,2,384,64,19,3,1,8,4,2,4,1,sage,True,12,24,1,0.00010697625,281,134,219898,466.92,120.73425599999648,300.92904761904765,0.001735472888888889,0.0017173454444444445
22022,11,64,256,4,768,128,19,4,1,8,4,8,8,1,gcn,True,12,24,1,0.00020054925,740,655,22022,1029.04,202.25027000454298,676.8571428571428,0.0017222735555555554,0.0017382994444444446
220500,11,64,128,2,384,256,19,3,1,2,8,2,2,1,sage,True,12,24,1,0.00032718582,283,60,220500,452.58,300.15821518235066,296.5489010989011,0.0017152523333333332,0.001736363888888889
22073,11,64,256,4,768,256,19,1,1,4,4,4,8,1,gcn,True,12,24,1,0.00022765545,514,315,22073,846.17,226.09948025454545,490.5841666666667,0.001719247,0.0017186365555555555
22176,11,64,256,4,768,256,19,2,1,8,4,2,2,1,gcn,True,12,24,1,0.0004232097,454,401,22176,831.47,411.2697117692307,453.8416666666667,0.001715430111111111,0.001725127
221793,11,64,128,3,384,64,19,3,1,2,4,8,2,1,sage,True,12,24,1,0.00020939706,218,64,221793,698.58,203.64096074997917,233.025873015873,0.0017353667777777779,0.0017113495555555556
221899,11,64,128,3,384,64,19,4,1,4,4,4,4,1,sage,True,12,24,1,0.00013668651,322,150,221899,752.65,140.26437299998375,308.577380952381,0.0017289752222222222,0.001708944
223146,11,64,128,3,384,128,19,3,1,8,8,2,2,1,sage,False,12,24,1,0.00017316,510,296,223146,690.33,168.017607857133,493.2110714285715,0.001724222,0.0017387317777777778
223415,11,64,128,3,384,256,19,3,1,2,4,8,8,1,sage,False,12,24,1,0.0002187210599999,462,238,223415,657.62,205.17459224995417,445.45,0.0017185596666666667,0.0017275277777777777
223627,11,64,128,4,384,64,19,1,1,8,4,4,4,1,sage,True,12,24,1,0.00012730257,569,366,223627,943.43,140.10644774999085,584.5539285714286,0.0017205036666666667,0.0017257754444444445
226084,11,64,256,1,768,128,19,4,1,2,4,4,4,1,sage,True,12,24,1,0.00016440876,310,86,226084,398.12,187.24362058234632,295.69166666666666,0.0017207922222222222,0.001719053
227631,11,64,256,2,768,64,19,3,1,2,8,4,2,1,sage,True,12,24,1,0.00018482832,245,64,227631,437.44,184.8625635,274.87259518259515,0.0017231372222222222,0.0017166225555555554
228296,11,64,256,2,768,256,19,3,1,4,4,2,8,1,sage,True,12,24,1,0.0002188809,459,202,228296,520.53,221.1671307914424,464.2166666666666,0.0017418046666666668,0.0017222517777777777
228625,11,64,256,2,768,64,19,3,1,4,4,8,4,1,sage,False,12,24,1,0.00016662321,283,118,228625,462.93,179.0017580340903,290.27607503607504,0.001717330111111111,0.0017412436666666667
