idx,gnn_in_dim,gnn_hidden_dim,gnn_out_dim,gnn_num_layers,mlp_in_dim,mlp_hidden_dim,mlp_out_dim,mlp_num_layers,gnn_p_in,gnn_p_hidden,gnn_p_out,mlp_p_in,mlp_p_hidden,mlp_p_out,conv,gnn_skip_connections,median_nodes,median_edges,median_degree,runtime_synth,bram,dsp
43187,11,128,256,3,768,128,19,2,1,2,4,4,8,1,gcn,True,12,24,1,0.00053415198,425,148
43760,11,128,256,3,768,64,19,1,1,2,8,2,8,1,gcn,False,12,24,1,0.00043430192999999997,285,76
43863,11,128,256,3,768,64,19,2,1,4,4,8,2,1,gcn,False,12,24,1,0.00030039597000000004,287,88
44377,11,128,256,3,768,128,19,4,1,8,4,8,4,1,gcn,False,12,24,1,0.00025573734,477,218
44391,11,128,256,3,768,256,19,1,1,2,2,4,2,1,gcn,False,12,24,1,0.00080480439,283,50
45572,11,128,256,4,768,256,19,3,1,4,8,4,8,1,gcn,True,12,24,1,0.00033442524,685,270
4664,11,64,64,3,192,256,19,2,1,4,8,2,8,1,gcn,True,12,24,1,0.00012141846,356,296
47093,11,256,64,1,192,128,19,2,1,4,2,4,8,1,gcn,True,12,24,1,7.5258e-05,206,128
47823,11,256,64,1,192,64,19,3,1,4,2,8,2,1,gcn,False,12,24,1,8.345313000000001e-05,114,50
47989,11,256,64,1,192,128,19,1,1,4,4,2,4,1,gcn,False,12,24,1,6.728264999999999e-05,130,38
48041,11,256,64,1,192,128,19,2,1,2,2,8,8,1,gcn,False,12,24,1,7.419240000000001e-05,238,160
48901,11,256,64,2,192,64,19,4,1,8,2,4,4,1,gcn,True,12,24,1,0.00017518464,226,118
49129,11,256,64,2,192,128,19,3,1,4,4,8,4,1,gcn,True,12,24,1,0.00020614365,222,114
49718,11,256,64,2,192,64,19,2,1,8,4,2,8,1,gcn,False,12,24,1,0.0001663335,266,154
5088,11,64,64,3,192,64,19,3,1,8,4,4,2,1,gcn,False,12,24,1,0.00010901421000000001,284,278
51267,11,256,64,3,192,256,19,1,1,8,8,4,2,1,gcn,True,12,24,1,0.00029023281,380,176
51420,11,256,64,3,192,256,19,3,1,8,4,4,2,1,gcn,True,12,24,1,0.00041607351,424,152
51780,11,256,64,3,192,64,19,4,1,2,8,4,2,1,gcn,False,12,24,1,0.00098818749,248,74
52114,11,256,64,3,192,128,19,4,1,4,2,4,4,1,gcn,False,12,24,1,0.00045045576,340,126
52523,11,256,64,4,192,64,19,1,1,4,2,8,8,1,gcn,True,12,24,1,0.00063643626,414,150
52747,11,256,64,4,192,64,19,4,1,2,4,8,4,1,gcn,True,12,24,1,0.00171269559,378,136
52796,11,256,64,4,192,64,19,4,1,8,4,2,8,1,gcn,True,12,24,1,0.00035701596000000004,618,418
52911,11,256,64,4,192,128,19,2,1,2,8,2,2,1,gcn,True,12,24,1,0.00173308518,344,70
53215,11,256,64,4,192,256,19,1,1,8,8,8,4,1,gcn,True,12,24,1,0.00036284679,482,270
54856,11,256,128,1,384,128,19,2,1,2,8,2,4,1,gcn,True,12,24,1,9.466524e-05,195,58
54917,11,256,128,1,384,128,19,2,1,8,8,8,8,1,gcn,True,12,24,1,7.275383999999999e-05,253,166
56964,11,256,128,2,384,128,19,4,1,2,8,4,2,1,gcn,True,12,24,1,0.00034321311,297,66
57177,11,256,128,2,384,256,19,2,1,8,8,2,2,1,gcn,True,12,24,1,0.0003294702,289,108
599,11,64,64,1,192,128,19,4,1,4,2,4,8,1,gcn,True,12,24,1,8.217774000000001e-05,354,256
60238,11,256,128,3,384,256,19,4,1,8,2,2,4,1,gcn,False,12,24,1,0.00042274683000000004,553,178
60299,11,256,128,4,384,64,19,1,1,4,2,8,8,1,gcn,True,12,24,1,0.00074320938,433,150
60350,11,256,128,4,384,64,19,2,1,2,2,4,8,1,gcn,True,12,24,1,0.00198116685,419,152
60476,11,256,128,4,384,64,19,3,1,4,8,4,8,1,gcn,True,12,24,1,0.00062736867,555,270
60701,11,256,128,4,384,128,19,2,1,4,2,4,8,1,gcn,True,12,24,1,0.0007521038100000001,513,182
60821,11,256,128,4,384,128,19,3,1,8,4,8,8,1,gcn,True,12,24,1,0.00037279017,601,402
60841,11,256,128,4,384,128,19,4,1,2,4,2,4,1,gcn,True,12,24,1,0.0018433381500000002,439,112
61412,11,256,128,4,384,64,19,3,1,2,4,4,8,1,gcn,False,12,24,1,0.00180623196,489,220
61453,11,256,128,4,384,64,19,3,1,8,2,2,4,1,gcn,False,12,24,1,0.00042431526,447,230
62339,11,256,256,1,768,64,19,2,1,4,8,4,8,1,gcn,True,12,24,1,0.00010456866,261,134
62343,11,256,256,1,768,64,19,2,1,8,2,2,2,1,gcn,True,12,24,1,0.00022321656,141,34
62754,11,256,256,1,768,128,19,3,1,8,2,8,2,1,gcn,True,12,24,1,0.00023775534,281,50
64956,11,256,256,2,768,256,19,2,1,8,8,4,2,1,gcn,True,12,24,1,0.00035078885999999997,331,112
65182,11,256,256,2,768,64,19,1,1,8,2,4,4,1,gcn,False,12,24,1,0.00037271358,279,70
6520,11,64,64,4,192,256,19,1,1,4,4,4,4,1,gcn,True,12,24,1,0.00014001651000000002,303,295
65244,11,256,256,2,768,64,19,2,1,4,4,4,2,1,gcn,False,12,24,1,0.00036208755,273,60
65436,11,256,256,2,768,64,19,4,1,8,4,8,2,1,gcn,False,12,24,1,0.00026809164,297,96
67969,11,256,256,3,768,256,19,4,1,2,4,2,4,1,gcn,False,12,24,1,0.00141930594,555,104
68275,11,256,256,4,768,64,19,3,1,8,8,2,4,1,gcn,True,12,24,1,0.00040504455,529,278
68416,11,256,256,4,768,128,19,1,1,4,8,8,4,1,gcn,True,12,24,1,0.00067635963,545,138
68430,11,256,256,4,768,128,19,1,1,8,4,4,2,1,gcn,True,12,24,1,0.00047408544,487,212
6922,11,64,64,4,192,64,19,2,1,4,4,2,4,1,gcn,False,12,24,1,0.0001295037,267,303
69386,11,256,256,4,768,128,19,1,1,4,8,4,8,1,gcn,False,12,24,1,0.00067447152,545,142
69950,11,256,256,4,768,256,19,4,1,4,8,2,8,1,gcn,False,12,24,1,0.00073408185,765,318
70693,11,64,64,1,192,256,19,1,1,8,2,8,4,1,gin,True,12,24,1,0.00014933385,164,48
72591,11,64,64,2,192,256,19,1,1,2,4,8,2,1,gin,True,12,24,1,0.00022032279,209,43
73019,11,64,64,2,192,64,19,2,1,4,4,2,8,1,gin,False,12,24,1,0.00011810844,259,135
73267,11,64,64,2,192,128,19,1,1,4,4,8,4,1,gin,False,12,24,1,0.00012020301000000002,195,83
7361,11,64,64,4,192,128,19,3,1,8,4,8,8,1,gcn,False,12,24,1,0.00012210777,579,591
74708,11,64,64,3,192,256,19,3,1,2,8,8,8,1,gin,True,12,24,1,0.00027700605,410,242
7492,11,64,64,4,192,256,19,1,1,4,4,4,4,1,gcn,False,12,24,1,0.00014000319,299,295
76731,11,64,64,4,192,256,19,4,1,2,8,8,2,1,gin,True,12,24,1,0.00052383564,419,81
76733,11,64,64,4,192,256,19,4,1,2,8,8,8,1,gin,True,12,24,1,0.00034391574,523,315
77050,11,64,64,4,192,64,19,4,1,2,8,2,4,1,gin,False,12,24,1,0.00032287014000000004,301,111
7722,11,64,64,4,192,256,19,4,1,4,2,2,2,1,gcn,False,12,24,1,0.00038127834000000003,381,285
77786,11,64,128,1,384,64,19,1,1,2,8,8,8,1,gin,True,12,24,1,0.00010187469,179,90
77805,11,64,128,1,384,64,19,1,1,4,8,2,2,1,gin,True,12,24,1,0.00012291363,137,24
78024,11,64,128,1,384,64,19,4,1,2,8,4,2,1,gin,True,12,24,1,0.00012903084,157,40
78337,11,64,128,1,384,128,19,4,1,2,4,2,4,1,gin,True,12,24,1,0.0001867797,237,74
78407,11,64,128,1,384,128,19,4,1,8,8,8,8,1,gin,True,12,24,1,0.00011534454000000001,403,282
79179,11,64,128,1,384,128,19,2,1,4,4,8,2,1,gin,False,12,24,1,0.00017909406,187,36
79342,11,64,128,1,384,128,19,4,1,4,4,8,4,1,gin,False,12,24,1,0.00017207442,235,98
799,11,64,64,1,192,256,19,2,1,8,4,8,4,1,gcn,True,12,24,1,8.800524000000001e-05,234,78
8013,11,64,128,1,384,64,19,3,1,8,8,4,2,1,gcn,True,12,24,1,8.798193000000001e-05,149,48
80432,11,64,128,2,384,256,19,1,1,8,8,8,8,1,gin,True,12,24,1,0.00013047273,414,219
80971,11,64,128,2,384,64,19,4,1,4,8,8,4,1,gin,False,12,24,1,0.0001335663,276,147
81612,11,64,128,2,384,256,19,4,1,4,8,2,2,1,gin,False,12,24,1,0.00040580712,346,81
81739,11,64,128,3,384,64,19,2,1,2,4,2,4,1,gin,True,12,24,1,0.00027382590000000004,233,62
82673,11,64,128,3,384,64,19,1,1,4,8,8,8,1,gin,False,12,24,1,0.00014692292999999998,321,168
82946,11,64,128,3,384,128,19,1,1,2,2,2,8,1,gin,False,12,24,1,0.00032494473,251,54
83927,11,64,128,4,384,128,19,1,1,2,4,2,8,1,gin,True,12,24,1,0.00033087213,294,67
84247,11,64,128,4,384,256,19,1,1,2,2,8,4,1,gin,True,12,24,1,0.00039081213,350,75
84910,11,64,128,4,384,128,19,1,1,2,8,4,4,1,gin,False,12,24,1,0.00033241725,296,71
8498,11,64,128,1,384,256,19,1,1,8,8,2,8,1,gcn,True,12,24,1,9.017973e-05,245,54
85910,11,64,256,1,768,128,19,1,1,4,8,4,8,1,gin,True,12,24,1,0.00017388927,265,58
86861,11,64,256,1,768,128,19,1,1,4,2,2,8,1,gin,False,12,24,1,0.00046788830999999997,259,36
87323,11,64,256,1,768,256,19,3,1,2,2,4,8,1,gin,False,12,24,1,0.00048855429,537,180
87336,11,64,256,1,768,256,19,3,1,2,8,2,2,1,gin,False,12,24,1,0.00046430523,245,32
88827,11,64,256,2,768,128,19,1,1,4,8,8,2,1,gin,False,12,24,1,0.00018528120000000002,328,81
89381,11,64,256,2,768,256,19,4,1,4,4,2,8,1,gin,False,12,24,1,0.00026488152,534,263
91655,11,64,256,4,768,64,19,4,1,4,4,8,8,1,gin,True,12,24,1,0.00024568407,602,377
93474,11,128,64,1,192,64,19,3,1,2,2,2,2,1,gin,True,12,24,1,0.00015804513000000002,120,26
94155,11,128,64,1,192,256,19,3,1,4,2,8,2,1,gin,True,12,24,1,0.00028655649,246,38
94538,11,128,64,1,192,64,19,4,1,2,4,2,8,1,gin,False,12,24,1,9.86679e-05,338,230
95536,11,128,64,2,192,64,19,4,1,4,4,2,4,1,gin,True,12,24,1,0.0001851147,246,107
96400,11,128,64,2,192,64,19,3,1,2,4,2,4,1,gin,False,12,24,1,0.00034383915,206,69
96978,11,128,64,2,192,256,19,2,1,2,8,4,2,1,gin,False,12,24,1,0.00043114841999999996,272,47
9738,11,64,128,2,384,64,19,1,1,2,8,2,2,1,gcn,True,12,24,1,0.00013032621,172,113
97900,11,128,64,3,192,256,19,1,1,4,8,8,4,1,gin,True,12,24,1,0.00023083227000000002,328,132
98566,11,128,64,3,192,128,19,1,1,8,4,8,4,1,gin,False,12,24,1,0.00016446537,446,280
98839,11,128,64,3,192,256,19,1,1,2,8,2,4,1,gin,False,12,24,1,0.00047719233,280,54
99295,11,128,64,4,192,64,19,2,1,8,4,8,4,1,gin,True,12,24,1,0.00019621692000000002,640,425
99813,11,128,64,4,192,256,19,1,1,2,8,4,2,1,gin,True,12,24,1,0.00059976963,332,61
99855,11,128,64,4,192,256,19,1,1,8,4,2,2,1,gin,True,12,24,1,0.00024676299000000004,630,379
